オーナー登録済フラグ,店名,住所,電話番号,ジャンル,評価＆口コミ点数,口コミ数,公式サイトURL,メニューURL,URL
オーナー未登録,ナムラ8超,〒812-0018 福岡県 福岡市博多区 住吉2-15-10,+81 92-271-8908,居酒屋,4.0 ,1件の口コミ,,https://www.tripadvisor.jp/UpdateListing-d9916951,https://www.tripadvisor.jp/Restaurant_Review-g14127501-d9916951-Reviews-Namura_8_Cho-Hakata_Fukuoka_Fukuoka_Prefecture_Kyushu.html
登録済み,北海道食市場 丸海屋 福岡本店,〒810-0041 福岡県 福岡市中央区 大名1-3-54,+81 92-735-7777,居酒屋,3.5 ,3件の口コミ,,,https://www.tripadvisor.jp/Restaurant_Review-g14127491-d9690516-Reviews-Hokkaido_Shokuichiba_Maru_Umiya_Fukuoka_Main_Store-Chuo_Fukuoka_Fukuoka_Prefect.html
オーナー未登録,英,福岡県 福岡市 早良区城西1-4-12,+81 92-822-0501,居酒屋,5.0 ,1件の口コミ,,https://www.tripadvisor.jp/UpdateListing-d7469898,https://www.tripadvisor.jp/Restaurant_Review-g298207-d7469898-Reviews-Hanabusa-Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,居酒屋くまちゃん,福岡県 福岡市 城南区七隈4-8-17,+81 92-863-3029,居酒屋,4.0 ,2件の口コミ,,https://www.tripadvisor.jp/UpdateListing-d7469458,https://www.tripadvisor.jp/Restaurant_Review-g298207-d7469458-Reviews-Izakaya_Kumachan-Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,月灯,〒810-0012 福岡県 福岡市中央区 白金1-17-5 エステートモア薬院駅前1F,+81 92-522-6338,,5.0 ,1件の口コミ,,https://www.tripadvisor.jp/UpdateListing-d9613834,https://www.tripadvisor.jp/Restaurant_Review-g14127491-d9613834-Reviews-Tsukino_Akari-Chuo_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,はかたや木鶏,福岡県 福岡市中央区 大濠1-3-7,+81 92-725-3511,居酒屋,5.0 ,1件の口コミ,,https://www.tripadvisor.jp/UpdateListing-d7468702,https://www.tripadvisor.jp/Restaurant_Review-g14127491-d7468702-Reviews-Hakataya_Mokkei-Chuo_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,長尾亭,福岡県 福岡市 城南区樋井川3-17-15,+81 92-511-3335,居酒屋,4.0 ,2件の口コミ,,https://www.tripadvisor.jp/UpdateListing-d7469984,https://www.tripadvisor.jp/Restaurant_Review-g298207-d7469984-Reviews-Nagaotei-Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,まさかど,福岡県 福岡市博多区 上川端町4-229,+81 92-263-3528,居酒屋,4.0 ,2件の口コミ,,https://www.tripadvisor.jp/UpdateListing-d7468867,https://www.tripadvisor.jp/Restaurant_Review-g14127501-d7468867-Reviews-Masakado-Hakata_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,食呑処 満,福岡県 福岡市中央区天神 3-5-2,+81 92-711-1465,,4.5 ,3件の口コミ,,,https://www.tripadvisor.jp/Restaurant_Review-g14135106-d3886873-Reviews-Shokutakudokoro_Man-Tenjin_Chuo_Fukuoka_Fukuoka_Prefecture_Kyushu.html
登録済み,居酒屋 くじら,〒810-0044 福岡県 福岡市中央区 六本松2-3-5 高田ビル 1F,+81 92-716-3918,和食,3.5 ,12件の口コミ,http://izakaya-kujira.com/,,https://www.tripadvisor.jp/Restaurant_Review-g14127491-d6056993-Reviews-Kujira-Chuo_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,味ひろ,〒812-0011 福岡県 福岡市博多区博多駅前 1-23-2,+81 92-441-9738,バラエティ,5.0 ,1件の口コミ,,https://www.tripadvisor.jp/UpdateListing-d9959427,https://www.tripadvisor.jp/Restaurant_Review-g14135122-d9959427-Reviews-Aji_Hiro-Hakataekimae_Hakata_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,雄屋 わさび,〒810-0021 福岡県 福岡市中央区 今泉1-18-42,+81 92-716-7700,居酒屋,3.5 ,3件の口コミ,,https://www.tripadvisor.jp/UpdateListing-d9909436,https://www.tripadvisor.jp/Restaurant_Review-g14127491-d9909436-Reviews-Takeya_Wasabi-Chuo_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,チャウバウ,〒810-0004 福岡県 福岡市中央区 渡辺通2-9-12,+81 92-713-1109,,4.0 ,2件の口コミ,,https://www.tripadvisor.jp/UpdateListing-d9637274,https://www.tripadvisor.jp/Restaurant_Review-g14127491-d9637274-Reviews-Chau_Bau-Chuo_Fukuoka_Fukuoka_Prefecture_Kyushu.html
登録済み,はな 美野島,福岡県 福岡市博多区 美野島2-5-2,+81 92-433-1136,九州料理,3.5 ,4件の口コミ,http://www.tsunaya.co.jp/hana/minoshima/index.html,https://hanaminoshima.owst.jp/,https://www.tripadvisor.jp/Restaurant_Review-g14127501-d7468717-Reviews-Hana_Minoshima-Hakata_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,居酒屋みなみ,〒810-0014 福岡県 福岡市中央区 平尾1-9-5,+81 92-523-0090,居酒屋,4.0 ,2件の口コミ,,,https://www.tripadvisor.jp/Restaurant_Review-g14127491-d9690500-Reviews-Izakaya_Minami-Chuo_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,木乃芽,〒810-0011 福岡県 福岡市中央区 高砂1-22-9-2-1,+81 50-5786-9792,,5.0 ,1件の口コミ,,https://www.tripadvisor.jp/UpdateListing-d9613740,https://www.tripadvisor.jp/Restaurant_Review-g14127491-d9613740-Reviews-Kinome-Chuo_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,うら本 西中洲・春吉店,〒810-0003 福岡県 福岡市中央区 春吉3-16-23 天神ブライトン1F,+81 50-5786-2377,居酒屋,5.0 ,1件の口コミ,,https://www.tripadvisor.jp/UpdateListing-d9649161,https://www.tripadvisor.jp/Restaurant_Review-g14127491-d9649161-Reviews-Uramoto_Nishinakasu_Haruyoshi-Chuo_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,とみむら,〒819-0002 福岡県 福岡市 西区姪浜4-11-22-1 1F,+81 92-883-3204,,4.0 ,6件の口コミ,,,https://www.tripadvisor.jp/Restaurant_Review-g298207-d6065113-Reviews-Tomimura-Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,サンバック,福岡県 福岡市 西区野方1-20-13,+81 92-812-2220,居酒屋,5.0 ,1件の口コミ,,,https://www.tripadvisor.jp/Restaurant_Review-g298207-d7468425-Reviews-Sun_Back-Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,坐・和民 西鉄薬院南口店,〒810-0022 福岡県 福岡市中央区 薬院3-3-1 1F,+81 50-5522-6246,居酒屋,3.5 ,3件の口コミ,,https://www.tripadvisor.jp/UpdateListing-d9690507,https://www.tripadvisor.jp/Restaurant_Review-g14127491-d9690507-Reviews-Za_Watami_Nishitetsu_Yakuin_South_Entrance-Chuo_Fukuoka_Fukuoka_Prefecture_Kyus.html
オーナー未登録,もつ手羽 爐庵 博多店,〒812-0013 福岡県 福岡市博多区 博多駅東2-10-13 芙蓉ビル2F,+81 92-481-7315,,3.5 ,4件の口コミ,http://roanhakata.owst.jp/,,https://www.tripadvisor.jp/Restaurant_Review-g14127501-d6053547-Reviews-Motsu_Teba_Roan_Hakata-Hakata_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,刺身居酒屋 桧乃鳥,〒811-0033 福岡県 福岡市 南区大橋1-16-6,+81 92-561-5008,,4.0 ,2件の口コミ,,,https://www.tripadvisor.jp/Restaurant_Review-g298207-d6046471-Reviews-Sashimi_Izakaya_Hinotori-Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,くらり庵,福岡県 福岡市 早良区室見4-1-2,+81 92-851-7686,居酒屋,4.0 ,2件の口コミ,,https://www.tripadvisor.jp/UpdateListing-d7468325,https://www.tripadvisor.jp/Restaurant_Review-g298207-d7468325-Reviews-Kurarian-Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,街道商店,〒811-1302 福岡県 福岡市 南区井尻5-19-27,+81 92-593-0656,居酒屋,4.0 ,3件の口コミ,,https://www.tripadvisor.jp/UpdateListing-d7738856,https://www.tripadvisor.jp/Restaurant_Review-g298207-d7738856-Reviews-Kaido_Shoten-Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,那須乃大八,〒810-0042 福岡県 福岡市中央区 赤坂1-14-16,+81 50-5786-6040,,5.0 ,1件の口コミ,,https://www.tripadvisor.jp/UpdateListing-d9672355,https://www.tripadvisor.jp/Restaurant_Review-g14127491-d9672355-Reviews-Nasuno_Daihachi-Chuo_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,酒喰楽々 ぎなんGINAN,〒812-0039 福岡県 福岡市博多区 冷泉町6-15,+81 92-282-8272,居酒屋,5.0 ,1件の口コミ,,https://www.tripadvisor.jp/UpdateListing-d9903003,https://www.tripadvisor.jp/Restaurant_Review-g14127501-d9903003-Reviews-Shukurakuraku_Ginan-Hakata_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,よっちゃん,〒812-0029 福岡県 福岡市博多区 古門戸町6-21,+81 92-271-7230,居酒屋,5.0 ,1件の口コミ,,https://www.tripadvisor.jp/UpdateListing-d10652040,https://www.tripadvisor.jp/Restaurant_Review-g14127501-d10652040-Reviews-Yotchan-Hakata_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,博多海鮮処 まんぷく屋 大名店,〒810-0041 福岡県 福岡市中央区 大名1-4-24,+81 50-5786-7436,日本料理,4.0 ,1件の口コミ,,,https://www.tripadvisor.jp/Restaurant_Review-g14127491-d9690517-Reviews-Hakata_Seafood_Manpukuya_Daimyo-Chuo_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,春吉焼鳥,〒810-0003 福岡県 福岡市中央区 春吉3-13-20 103,+81 92-761-4461,和食（その他）,5.0 ,1件の口コミ,,https://www.tripadvisor.jp/UpdateListing-d9951738,https://www.tripadvisor.jp/Restaurant_Review-g14127491-d9951738-Reviews-Haruyoshi_Yakitori-Chuo_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,みそ汁若尾,〒810-0003 福岡県 福岡市中央区 春吉2-7-22,+81 92-731-2392,,5.0 ,1件の口コミ,,https://www.tripadvisor.jp/UpdateListing-d9629370,https://www.tripadvisor.jp/Restaurant_Review-g14127491-d9629370-Reviews-Misoshiru_Wakao-Chuo_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,ちんぷんかんぷん 高宮店,〒815-0082 福岡県 福岡市 南区大楠3-21-12,+81 50-5788-5552,居酒屋,4.0 ,2件の口コミ,,,https://www.tripadvisor.jp/Restaurant_Review-g298207-d9637235-Reviews-Chimpun_Kampun_Takamiya-Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,ろばた家,福岡県 福岡市 西区姪浜駅南2-6-10,+81 92-885-3866,居酒屋,3.5 ,3件の口コミ,,https://www.tripadvisor.jp/UpdateListing-d7469059,https://www.tripadvisor.jp/Restaurant_Review-g298207-d7469059-Reviews-Robataya-Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,酒の屋 すずろ,〒810-0011 福岡県 福岡市中央区 高砂2-23-2 リーベ高砂1F,+81 92-522-3737,,5.0 ,1件の口コミ,,,https://www.tripadvisor.jp/Restaurant_Review-g14127491-d11894733-Reviews-Sakenoya_Suzuro-Chuo_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,季楽や,福岡県 福岡市博多区 東比恵2-15-24,+81 92-452-6226,居酒屋,4.0 ,2件の口コミ,,https://www.tripadvisor.jp/UpdateListing-d7469399,https://www.tripadvisor.jp/Restaurant_Review-g14127501-d7469399-Reviews-Kirakuya-Hakata_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,やぶれ居酒屋 まさかど別館,〒812-0026 福岡県 福岡市博多区 上川端町4-203,+81 92-263-3753,居酒屋,4.0 ,2件の口コミ,,https://www.tripadvisor.jp/UpdateListing-d7468974,https://www.tripadvisor.jp/Restaurant_Review-g14127501-d7468974-Reviews-Yabure_Izakaya_Masakado_Annex-Hakata_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,磯ちょうちん,〒812-0011 福岡県 福岡市博多区博多駅前 4-24-2 1F,+81 50-5788-8127,居酒屋,5.0 ,1件の口コミ,,https://www.tripadvisor.jp/UpdateListing-d9672382,https://www.tripadvisor.jp/Restaurant_Review-g14135122-d9672382-Reviews-Iso_Chouchin-Hakataekimae_Hakata_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,今泉屋台酒場 まいど,〒810-0021 福岡県 福岡市中央区 今泉1-21-3 ラガッツァTENJIN2F,+81 92-716-6466,居酒屋,4.0 ,2件の口コミ,,https://www.tripadvisor.jp/UpdateListing-d9633546,https://www.tripadvisor.jp/Restaurant_Review-g14127491-d9633546-Reviews-Imaizumi_Yatai_Sakaba_Maido-Chuo_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,しょうき 半道橋店,〒812-0897 福岡県 福岡市博多区 半道橋2-2-9,+81 92-474-1113,,3.5 ,4件の口コミ,http://www.syouki.jp/access.html,http://www.syouki.jp/menu.html#section02,https://www.tripadvisor.jp/Restaurant_Review-g14127501-d9649105-Reviews-Shoki_Hammichibashi-Hakata_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,かみ風船,福岡県 福岡市 南区大橋1-21-5,+81 92-552-8182,居酒屋,5.0 ,1件の口コミ,,https://www.tripadvisor.jp/UpdateListing-d7468277,https://www.tripadvisor.jp/Restaurant_Review-g298207-d7468277-Reviews-Kamifusen-Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,花ざかり 中洲川端店,〒812-0025 福岡県 福岡市博多区 店屋町3-3,+81 92-291-3356,,3.5 ,4件の口コミ,http://www.fukuoka-hanazakari.com/,,https://www.tripadvisor.jp/Restaurant_Review-g14127501-d8479639-Reviews-Hanazakari_Nakasu_Kawabata-Hakata_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,美味実,〒812-0879 福岡県 福岡市博多区 銀天町3-6-27 エスクビルB1,+81 92-585-1458,居酒屋,3.5 ,3件の口コミ,,https://www.tripadvisor.jp/UpdateListing-d9672399,https://www.tripadvisor.jp/Restaurant_Review-g14127501-d9672399-Reviews-Mimimi-Hakata_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,串かず 春吉店,福岡県 福岡市中央区 春吉3-11-4,+81 92-716-0330,寿司,4.0 ,2件の口コミ,,https://www.tripadvisor.jp/UpdateListing-d7469133,https://www.tripadvisor.jp/Restaurant_Review-g14127491-d7469133-Reviews-Kushi_Kazu_Haruyoshi-Chuo_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,旬鮮なが田,〒810-0042 福岡県 福岡市中央区 赤坂1-1-18アバンダント88 101 アバンダント88 101,+81 50-5786-3245,,4.0 ,2件の口コミ,http://www.nagata-fukuoka.com/,https://www.tripadvisor.jp/UpdateListing-d9613819,https://www.tripadvisor.jp/Restaurant_Review-g14127491-d9613819-Reviews-Shunsen_Nagata-Chuo_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,和創居酒屋 辰家,福岡県 福岡市 東区原田2-8-1,+81 92-629-5005,居酒屋,5.0 ,2件の口コミ,,https://www.tripadvisor.jp/UpdateListing-d7469322,https://www.tripadvisor.jp/Restaurant_Review-g298207-d7469322-Reviews-Wasoizakayatatsuya-Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,焼き鳥居酒屋 なかなか家,〒815-0033 福岡県 福岡市 南区大橋1-24-14,+81 92-512-0310,,3.5 ,5件の口コミ,,,https://www.tripadvisor.jp/Restaurant_Review-g298207-d6047948-Reviews-Yakitori_Izakaya_Nakanakaya-Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,ちいさこべ,〒813-0042 福岡県 福岡市 東区舞松原1-5-4 平荘A,+81 92-672-5330,居酒屋,5.0 ,1件の口コミ,,https://www.tripadvisor.jp/UpdateListing-d9971282,https://www.tripadvisor.jp/Restaurant_Review-g298207-d9971282-Reviews-Chisakobe-Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,北の魚,福岡県 福岡市 東区香椎駅前2-15-50,+81 92-683-1362,居酒屋,4.0 ,2件の口コミ,,https://www.tripadvisor.jp/UpdateListing-d7636039,https://www.tripadvisor.jp/Restaurant_Review-g298207-d7636039-Reviews-Kita_No_Sakana-Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,かくれ家 離れ,〒815-0033 福岡県 福岡市 南区大橋3-2-1 トーカンマンション大橋プラザ1F,+81 92-512-5551,創作和食,5.0 ,3件の口コミ,,,https://www.tripadvisor.jp/Restaurant_Review-g298207-d6061677-Reviews-Kakurega_Hanare-Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,ほりわき,福岡県 福岡市 早良区原5-21-24,+81 92-851-5587,居酒屋,5.0 ,1件の口コミ,,https://www.tripadvisor.jp/UpdateListing-d7666570,https://www.tripadvisor.jp/Restaurant_Review-g298207-d7666570-Reviews-Horiwaki-Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,博多ねりもん屋 ツクネスタンダード,〒810-0041 福岡県 福岡市中央区 大名2-1-42 2F,+81 92-714-0706,,4.0 ,1件の口コミ,,,https://www.tripadvisor.jp/Restaurant_Review-g14127491-d15201777-Reviews-Hakata_Nerimonya_Tsukune_Standard-Chuo_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,博多ふろや,〒812-0012 福岡県 福岡市博多区 博多駅中央街7-1 シック博多駅前1F,+81 92-482-8263,居酒屋,5.0 ,1件の口コミ,,,https://www.tripadvisor.jp/Restaurant_Review-g14127501-d9950195-Reviews-Hakata_Furoya-Hakata_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,一休さん,〒810-0801 福岡県 福岡市博多区中洲 4-1-16,+81 92-271-0536,居酒屋,5.0 ,1件の口コミ,,https://www.tripadvisor.jp/UpdateListing-d9955167,https://www.tripadvisor.jp/Restaurant_Review-g14135118-d9955167-Reviews-Ikkyu_San-Nakasu_Hakata_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,くいどうらく,福岡県 福岡市 南区野間4-1-35,+81 92-541-9541,居酒屋,5.0 ,1件の口コミ,,https://www.tripadvisor.jp/UpdateListing-d7468313,https://www.tripadvisor.jp/Restaurant_Review-g298207-d7468313-Reviews-Kuidoraku-Fukuoka_Fukuoka_Prefecture_Kyushu.html
登録済み,寅寅寅,〒810-0011 福岡県 福岡市中央区 高砂1-23-12,+81 92-534-5722,居酒屋,4.0 ,2件の口コミ,https://www.tora-3.com/,,https://www.tripadvisor.jp/Restaurant_Review-g14127491-d7670239-Reviews-Torasan-Chuo_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,あかね屋,福岡県 福岡市博多区 対馬小路5-1,+81 92-282-8185,居酒屋,5.0 ,1件の口コミ,,https://www.tripadvisor.jp/UpdateListing-d7661284,https://www.tripadvisor.jp/Restaurant_Review-g14127501-d7661284-Reviews-Akaneya-Hakata_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,かんてきや 博多駅前店,〒812-0013 福岡県 福岡市博多区 博多駅東2-2-18,+81 92-477-9555,和食,3.0 ,13件の口コミ,,,https://www.tripadvisor.jp/Restaurant_Review-g14127501-d3938017-Reviews-Kantekiya_Hakata_Station-Hakata_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,博多ぢどり屋 野間,福岡県 福岡市 南区野間1-1-19,+81 92-557-1129,居酒屋,4.0 ,2件の口コミ,,,https://www.tripadvisor.jp/Restaurant_Review-g298207-d7469241-Reviews-Hakata_Jidoriya_Noma-Fukuoka_Fukuoka_Prefecture_Kyushu.html
登録済み,酒膳町家　暮れ六つ,〒810-0004 福岡県 福岡市中央区 渡辺通2-1-23,+81 92-739-9898,,3.5 ,7件の口コミ,,,https://www.tripadvisor.jp/Restaurant_Review-g14127491-d6054234-Reviews-Shuzemmachiya_Kuremutsu-Chuo_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,博多わらしべ。,〒812-0011 福岡県 福岡市博多区博多駅前 4-11-13 花ビル1F,+81 92-483-8125,居酒屋,4.0 ,1件の口コミ,,https://www.tripadvisor.jp/UpdateListing-d9950308,https://www.tripadvisor.jp/Restaurant_Review-g14135122-d9950308-Reviews-Hakata_Warashibe-Hakataekimae_Hakata_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,焼き鳥居酒屋 釜焼鳥本舗おやひなや博多駅筑紫口店,〒812-0013 福岡県 福岡市博多区 博多駅東2-16-14,+81 92-483-2588,,4.0 ,2件の口コミ,,,https://www.tripadvisor.jp/Restaurant_Review-g14127501-d17885906-Reviews-Oyahinaya_Hakata_Station_Chikushi_Entrance-Hakata_Fukuoka_Fukuoka_Prefecture_K.html
オーナー未登録,味処舞田,福岡県 福岡市 南区屋形原1-14-19,+81 92-561-7631,居酒屋,5.0 ,1件の口コミ,,https://www.tripadvisor.jp/UpdateListing-d7469298,https://www.tripadvisor.jp/Restaurant_Review-g298207-d7469298-Reviews-Ajidokoro_Maida-Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,大衆酒場 一期,〒814-0002 福岡県 福岡市 早良区西新5-15-19,+81 92-821-3791,,4.0 ,1件の口コミ,,https://www.tripadvisor.jp/UpdateListing-d15263931,https://www.tripadvisor.jp/Restaurant_Review-g298207-d15263931-Reviews-Taishu_Sakaba_Ichigo-Fukuoka_Fukuoka_Prefecture_Kyushu.html
登録済み,馬肉酒場 バルバニック 天神店,〒810-0021 福岡県 福岡市中央区 今泉1-11-7 2F,+81 92-737-3829,イタリアン,4.0 ,1件の口コミ,https://tenjin-barvaniq.com/,https://r.gnavi.co.jp/8nxxe0x50000/menu1/,https://www.tripadvisor.jp/Restaurant_Review-g14127491-d17463394-Reviews-Barvaniq_Tenjin-Chuo_Fukuoka_Fukuoka_Prefecture_Kyushu.html
登録済み,蔵音,〒812-0013 福岡県 福岡市博多区 博多区博多駅東2-9-6,+81 92-473-0816,,3.5 ,9件の口コミ,,,https://www.tripadvisor.jp/Restaurant_Review-g14127501-d6059597-Reviews-Kuracin-Hakata_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,酒膳屋 かじさん,〒810-0023 福岡県 福岡市中央区 警固2-13-7 Oak Bldg 2　1F,+81 92-724-4337,居酒屋,4.0 ,1件の口コミ,,https://www.tripadvisor.jp/UpdateListing-d9672420,https://www.tripadvisor.jp/Restaurant_Review-g14127491-d9672420-Reviews-Shuzenya_Kajisan-Chuo_Fukuoka_Fukuoka_Prefecture_Kyushu.html
登録済み,海鮮処 松月亭 博多中洲店,〒812-0018 福岡県 福岡市博多区 住吉1-1-9 RJRプレシア博多 2F,+81 92-281-2622,,4.0 ,1件の口コミ,http://shogetsuteinakasu.owst.jp/,https://shogetsuteinakasu.owst.jp/,https://www.tripadvisor.jp/Restaurant_Review-g14127501-d15886328-Reviews-Shogetsutei_Hakata_Nakasu-Hakata_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,フィッシュ＆ダイニング五ROSUKE,〒812-0018 福岡県 福岡市博多区 住吉2-16-1,+81 92-409-3194,,5.0 ,1件の口コミ,,,https://www.tripadvisor.jp/Restaurant_Review-g14127501-d8098397-Reviews-Fish_Dining_5_Rosuke-Hakata_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,イタリア食堂ITARO,〒814-0015 福岡県 福岡市 早良区室見4-24-21,+81 92-822-0882,,4.0 ,1件の口コミ,,,https://www.tripadvisor.jp/Restaurant_Review-g298207-d13938557-Reviews-Itaro-Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,呑処 岡ひろ,〒810-0023 福岡県 福岡市中央区 警固1-12-3 警固クレスタリア,+81 50-5786-5015,ガストロパブ,4.0 ,1件の口コミ,,,https://www.tripadvisor.jp/Restaurant_Review-g14127491-d9690511-Reviews-Nomidokoro_Okahiro-Chuo_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,Musumatsu,〒810-0004 福岡県 福岡市中央区 渡辺通2-3-8,+81 92-724-8225,,4.0 ,1件の口コミ,,https://www.tripadvisor.jp/UpdateListing-d9916165,https://www.tripadvisor.jp/Restaurant_Review-g14127491-d9916165-Reviews-Musumatsu-Chuo_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,みどり屋食堂,〒810-0004 福岡県 福岡市中央区 渡辺通2-1-28,+81 50-5798-5761,,3.0 ,5件の口コミ,,,https://www.tripadvisor.jp/Restaurant_Review-g14127491-d9629372-Reviews-Midoriya_Shokudo-Chuo_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,ラズリィ,福岡県 福岡市博多区 住吉5-19-2,+81 92-292-9463,居酒屋,4.0 ,1件の口コミ,,https://www.tripadvisor.jp/UpdateListing-d7667716,https://www.tripadvisor.jp/Restaurant_Review-g14127501-d7667716-Reviews-Lazure-Hakata_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,にし川,〒810-0003 福岡県 福岡市中央区 春吉3-22-23 2F,+81 92-714-1640,,4.0 ,1件の口コミ,,https://www.tripadvisor.jp/UpdateListing-d15245784,https://www.tripadvisor.jp/Restaurant_Review-g14127491-d15245784-Reviews-Nishikawa-Chuo_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,Dining 藁の火,〒812-0013 福岡県 福岡市博多区 博多駅東1-13-18 1F,+81 92-452-5386,パブ,4.0 ,11件の口コミ,http://hakata-izakaya.net/,,https://www.tripadvisor.jp/Restaurant_Review-g14127501-d3816625-Reviews-Dining_Wara_No_Hi-Hakata_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,やぶれ居酒屋まさかど 中洲3号店,〒810-0801 福岡県 福岡市博多区中洲 5-2-3 2F,+81 92-282-3245,居酒屋,3.5 ,2件の口コミ,,https://www.tripadvisor.jp/UpdateListing-d10647539,https://www.tripadvisor.jp/Restaurant_Review-g14135118-d10647539-Reviews-Yabure_Izakaya_Masakado_Nakasu_3Go-Nakasu_Hakata_Fukuoka_Fukuoka_Prefecture_Ky.html
オーナー未登録,楽食笑酒　実のる,〒810-0001 福岡県 福岡市中央区天神 3-6-24,+81 92-791-8737,居酒屋,4.0 ,1件の口コミ,,,https://www.tripadvisor.jp/Restaurant_Review-g14135106-d13790984-Reviews-Gakushoku_Shoshu_Minoru-Tenjin_Chuo_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,喜なさる,〒812-0011 福岡県 福岡市博多区博多駅前 4-15-10,+81 92-260-9736,居酒屋,4.0 ,1件の口コミ,,https://www.tripadvisor.jp/UpdateListing-d13791038,https://www.tripadvisor.jp/Restaurant_Review-g14135122-d13791038-Reviews-Kinasaru-Hakataekimae_Hakata_Fukuoka_Fukuoka_Prefecture_Kyushu.html
登録済み,鳥ざんまい 新天町店,福岡県 福岡市中央区天神 2-7-245,+81 92-717-5117,,3.5 ,4件の口コミ,,,https://www.tripadvisor.jp/Restaurant_Review-g14135106-d7470147-Reviews-Torizammai_Shintemmachi-Tenjin_Chuo_Fukuoka_Fukuoka_Prefecture_Kyushu.html
